transaction_id,date,description,amount,currency,country_code,expected_merchant,expected_category,expected_mcc,expected_city,expected_postcode_area,difficulty,pattern,channel
TX300031,2026-03-17T09:11:00Z,NUFFIELD HEALTH TID20322 STOKE-ON-TRENT GB,13.26,GBP,GB,Nuffield Health,Health > Gyms & Fitness,7997,STOKE-ON-TRENT,ST1,medium,terminal_id,card_present
TX300032,2026-05-07T16:01:00Z,PREMIER INN*2WDXQVD PORTSMOUTH GB,304.02,GBP,GB,Premier Inn,Travel > Hotels,7011,PORTSMOUTH,PO1,medium,ref_code,contactless
TX300033,2026-03-07T12:05:00Z,THE GYM GROUP TID79741 LONDON GB,34.05,GBP,GB,The Gym Group,Health > Gyms & Fitness,7997,LONDON,NW1,medium,terminal_id,contactless
TX300034,2026-04-30T22:13:00Z,THE BULL INN STOKE-ON-TRENT ST1 GB,21.81,GBP,GB,The Bull Inn,Food & Drink > Pubs & Bars,5813,STOKE-ON-TRENT,ST1,medium,postcode_tail,ecommerce
TX300035,2026-03-02T21:34:00Z,MEGABUS LTD NOTTINGHAM GB,58.35,GBP,GB,Megabus,Transport > Coach & Bus,4131,NOTTINGHAM,NG1,medium,legal_entity,card_present
TX300036,2026-04-28T09:02:00Z,FULLERS PUBS EDINBURGH GB,42.87,GBP,GB,Fuller's,Food & Drink > Pubs & Bars,5813,EDINBURGH,EH1,easy,clean,card_present
TX300037,2026-03-12T11:20:00Z,VRGN ACTV BRADFORD GB,217.79,GBP,GB,Virgin Active,Health > Gyms & Fitness,7997,BRADFORD,BD1,hard,vowel_dropped,contactless
TX300038,2026-04-21T22:40:00Z,TRAINLINE 0869 BRIGHTON GB,154.92,GBP,GB,Trainline,Transport > Rail,4112,BRIGHTON,BN1,easy,store_number,card_present
TX300039,2026-04-25T05:44:00Z,PATELS PIZZERIA*NA16GX DUNDEE GB,11.51,GBP,GB,Patel's Pizzeria,Food & Drink > Restaurants,5812,DUNDEE,DD1,medium,ref_code,card_present
TX300040,2026-05-16T23:51:00Z,TFW RAIL WOLVERHAMPTON GB,135.36,GBP,GB,Transport for Wales,Transport > Rail,4112,WOLVERHAMPTON,WV1,easy,clean,card_present
TX300041,2026-07-28T05:04:00Z,WASABI GROUP LTD EDINBURGH GB,35.14,GBP,GB,Wasabi,Food & Drink > Fast Food,5814,EDINBURGH,EH2,medium,legal_entity,card_present
TX300042,2026-07-07T10:47:00Z,PRGYM LONDON GB,189.09,GBP,GB,PureGym,Health > Gyms & Fitness,7997,LONDON,SE1,hard,vowel_dropped,contactless
TX300043,2026-08-15T19:16:00Z,SKY DIGITAL LONDON GB,327.93,GBP,GB,Sky,Bills > TV & Broadband,4899,LONDON,SE10,easy,clean,direct_debit
TX300044,2026-06-20T11:27:00Z,H&M*ASGCGK ABERDEEN GB,372.29,GBP,GB,H&M,Shopping > Clothing,5651,ABERDEEN,AB10,medium,ref_code,card_present
TX300045,2026-04-18T08:44:00Z,ASOS.COM BRADFORD GB,361.60,GBP,GB,ASOS,Shopping > Clothing,5651,BRADFORD,BD1,easy,clean,card_present
TX300046,2026-03-01T10:29:00Z,SQ *THE SWAN HOTEL BIRMINGHAM GB,3.62,GBP,GB,The Swan Hotel,Food & Drink > Pubs & Bars,5813,BIRMINGHAM,B1,hard,psp_prefix,contactless
TX300047,2026-03-26T04:38:00Z,HOUSE OF FRASER BELFAST GB,16.56,GBP,GB,House of Fraser,Shopping > Department Stores,5311,BELFAST,BT2,easy,clean,contactless
TX300048,2026-03-28T01:25:00Z,WISE PAYMENTS LONDON GB,28.39,GBP,GB,Wise,Financial > Money Transfer,6012,LONDON,SE10,easy,clean,ecommerce
TX300049,2026-07-21T12:09:00Z,GWR MILTON KEYNES GB,40.36,GBP,GB,Great Western Railway,Transport > Rail,4112,MILTON KEYNES,MK9,easy,clean,contactless
TX300050,2026-07-13T03:37:00Z,ZETTLE_*THE SHIP INN SALFORD GB,5.71,GBP,GB,The Ship Inn,Food & Drink > Pubs & Bars,5813,SALFORD,M50,hard,psp_prefix,ecommerce
TX300051,2026-03-30T14:38:00Z,KHAN BARBERS*45HNWN BIRMINGHAM GB,24.64,GBP,GB,Khan Barbers,Personal Care > Hairdressing,7230,BIRMINGHAM,B1,medium,ref_code,card_present
TX300052,2026-05-09T09:20:00Z,NINTENDO BIRMINGHAM,158.25,GBP,GB,Nintendo,Entertainment > Gaming,5816,BIRMINGHAM,B5,hard,truncated,ecommerce
TX300053,2026-08-06T20:36:00Z,BTS LONDON GB,38.00,GBP,GB,Boots,Health > Pharmacy,5912,LONDON,E14,hard,vowel_dropped,card_present
TX300054,2026-04-04T00:06:00Z,GOUSTO SHEFFIELD,7.37,GBP,GB,Gousto,Food & Drink > Meal Kits,5812,SHEFFIELD,S1,hard,truncated,ecommerce
TX300055,2026-07-10T08:29:00Z,HMRC LONDON GB,84.60,GBP,GB,HM Revenue & Customs,Government > Tax,9311,LONDON,SW6,easy,clean,direct_debit
TX300056,2026-06-13T11:39:00Z,BUDGENS*87TB5Z8 BIRMINGHAM GB,107.49,GBP,GB,Budgens,Groceries > Convenience Stores,5411,BIRMINGHAM,B5,medium,ref_code,card_present
TX300057,2026-03-13T12:20:00Z,ITSU SALFORD M50 GB,2.50,GBP,GB,Itsu,Food & Drink > Fast Food,5814,SALFORD,M50,easy,postcode_tail,card_present
TX300058,2026-06-19T06:55:00Z,EVERYMAN MEDIA*C2AKTE17 LONDON GB,7.65,GBP,GB,Everyman Cinema,Entertainment > Cinema,7832,LONDON,WC1B,medium,ref_code,card_present
TX300059,2026-05-03T03:28:00Z,SUPERDRUG BIRMINGHAM GB,209.90,GBP,GB,Superdrug,Health > Pharmacy,5912,BIRMINGHAM,B5,easy,clean,contactless
TX300060,2026-05-05T12:22:00Z,O'BRIEN LNDRTT NORWICH GB,83.14,GBP,GB,O'Brien Laundrette,Personal Care > Laundry,7211,NORWICH,NR1,hard,vowel_dropped,card_present
TX300061,2026-08-28T09:09:00Z,REVOLUT*Z2DEBQ6 SOUTHAMPTON GB,148.63,GBP,GB,Revolut,Financial > Banking,6012,SOUTHAMPTON,SO14,medium,ref_code,ecommerce
TX300062,2026-05-31T16:58:00Z,MCGREGOR & SONS NAIL BAR 7274 CHESTER GB,74.20,GBP,GB,Mcgregor & Sons Nail Bar,Personal Care > Beauty,7230,CHESTER,CH1,medium,store_number,ecommerce
TX300063,2026-04-16T21:11:00Z,DELIVEROO GLASGOW GB,46.49,GBP,GB,Deliveroo,Food & Drink > Food Delivery,5812,GLASGOW,G1,easy,clean,ecommerce
TX300064,2026-06-15T02:28:00Z,KlARNA SALFORD GB,344.08,GBP,GB,Klarna,Financial > Buy Now Pay Later,6012,SALFORD,M50,medium,case_mixed,ecommerce
TX300065,2026-04-27T18:48:00Z,BELLA ITALIA TID88811 OXFORD GB,2.64,GBP,GB,Bella Italia,Food & Drink > Restaurants,5812,OXFORD,OX1,medium,terminal_id,contactless
TX300066,2026-03-27T00:48:00Z,SELFRIDGES LUTON LU1 GB,11.97,GBP,GB,Selfridges,Shopping > Department Stores,5311,LUTON,LU1,easy,postcode_tail,card_present
TX300067,2026-06-17T18:16:00Z,JD WETHERSPOON 2464 LONDON GB,67.45,GBP,GB,J D Wetherspoon,Food & Drink > Pubs & Bars,5813,LONDON,EC1A,easy,store_number,contactless
TX300068,2026-04-25T11:13:00Z,SCREWFIX LONDON E15 GB,22.43,GBP,GB,Screwfix,Shopping > Home Improvement,5211,LONDON,E15,easy,postcode_tail,contactless
TX300069,2026-05-15T17:24:00Z,THE QUEENS HEAD IPSWICH IP1 GB,27.17,GBP,GB,The Queens Head,Food & Drink > Pubs & Bars,5813,IPSWICH,IP1,medium,postcode_tail,contactless
TX300070,2026-08-11T05:09:00Z,SAINSBURYS PETROL IPSWICH GB,191.43,GBP,GB,Sainsbury's Petrol,Transport > Fuel & Petrol,5541,IPSWICH,IP1,easy,clean,contactless
TX300071,2026-08-27T02:49:00Z,POST OFFICE LTD UK LTD LONDON GB,195.41,GBP,GB,Post Office,Government > Postal Services,9402,LONDON,N1,medium,legal_entity,direct_debit
TX300072,2026-03-28T22:32:00Z,MICROSOFT*XBOX LONDON GB,133.43,GBP,GB,Xbox,Entertainment > Gaming,5816,LONDON,SW1A,easy,clean,ecommerce
TX300073,2026-03-05T07:15:00Z,OCAdo rETaiL BRIGHTON GB,20.72,GBP,GB,Ocado,Groceries > Online Grocery,5411,BRIGHTON,BN1,medium,case_mixed,ecommerce
TX300074,2026-06-21T19:24:00Z,WP*THE HIDEAWAY CAFE COVENTRY GB,45.12,GBP,GB,The Hideaway Cafe,Food & Drink > Cafes & Coffee Shops,5814,COVENTRY,CV1,hard,psp_prefix,contactless
TX300075,2026-08-27T04:18:00Z,APPLEGREEN PLC STOCKPORT GB,115.92,GBP,GB,Applegreen,Transport > Fuel & Petrol,5541,STOCKPORT,SK1,medium,legal_entity,card_present
TX300076,2026-03-25T08:31:00Z,MEGABUS*FB6TSH4 LONDON GB,45.84,GBP,GB,Megabus,Transport > Coach & Bus,4131,LONDON,E1,medium,ref_code,ecommerce
TX300077,2026-04-11T06:30:00Z,SPORTS DIRECT TID23785 BIRMINGHAM GB,106.09,GBP,GB,Sports Direct,Shopping > Sporting Goods,5941,BIRMINGHAM,B1,medium,terminal_id,contactless
TX300078,2026-07-14T10:41:00Z,AHMEDS BAKERY GLASGOW GB,32.50,GBP,GB,Ahmed's Bakery,Food & Drink > Bakeries,5462,GLASGOW,G2,medium,clean,contactless
TX300079,2026-06-20T18:52:00Z,COSTA COFFEE UK LTD LEICESTER GB,13.12,GBP,GB,Costa Coffee,Food & Drink > Cafes & Coffee Shops,5814,LEICESTER,LE1,medium,legal_entity,card_present
TX300080,2026-03-13T21:04:00Z,SMITHS OFF LICENCE 1975 BOLTON GB,47.47,GBP,GB,Smith's Off Licence,Groceries > Off Licence,5921,BOLTON,BL1,medium,store_number,contactless
TX300081,2026-04-20T01:45:00Z,PREMIER INN GLASGOW GB,176.95,GBP,GB,Premier Inn,Travel > Hotels,7011,GLASGOW,G2,easy,clean,ecommerce
TX300082,2026-06-13T19:21:00Z,SINGH & SONS MOT CENTRE 3,87.10,GBP,GB,Singh & Sons Mot Centre,Transport > Vehicle Servicing,7538,LONDON,EC1A,hard,truncated,contactless
TX300083,2026-07-27T14:34:00Z,HILTON HOTELS 2875 LIVERPOOL GB,1145.07,GBP,GB,Hilton,Travel > Hotels,7011,LIVERPOOL,L1,easy,store_number,card_present
TX300084,2026-04-10T12:22:00Z,NCP CAR PARK*NHUDE6 SALFORD GB,67.94,GBP,GB,NCP,Transport > Parking,7523,SALFORD,M50,medium,ref_code,card_present
TX300085,2026-08-12T02:23:00Z,EXPEDIA*T9TF1HF SALFORD GB,948.12,GBP,GB,Expedia,Travel > Online Travel Agency,4722,SALFORD,M50,medium,ref_code,ecommerce
TX300086,2026-03-28T08:13:00Z,BEAN THERE CAFE SUNDERLAND GB,2.64,GBP,GB,Bean There Cafe,Food & Drink > Cafes & Coffee Shops,5814,SUNDERLAND,SR1,medium,clean,contactless
TX300087,2026-05-20T15:17:00Z,FIVE GUYS LONDON EC2M GB,18.73,GBP,GB,Five Guys,Food & Drink > Fast Food,5814,LONDON,EC2M,easy,postcode_tail,contactless
TX300088,2026-08-27T13:44:00Z,TOOLSTATION NORWICH GB,15.25,GBP,GB,Toolstation,Shopping > Home Improvement,5211,NORWICH,NR1,easy,clean,card_present
TX300089,2026-08-26T16:03:00Z,MICROSOFT*XBOX GUILDFORD GB,153.51,GBP,GB,Xbox,Entertainment > Gaming,5816,GUILDFORD,GU1,easy,clean,ecommerce
TX300090,2026-03-26T17:32:00Z,RICHER SOUNDS TID65940 LEICESTER GB,224.52,GBP,GB,Richer Sounds,Shopping > Electronics,5732,LEICESTER,LE1,medium,terminal_id,contactless
TX300091,2026-04-23T12:41:00Z,RINGGO PARKING 4251,6.90,GBP,GB,RingGo,Transport > Parking,7523,PORTSMOUTH,PO1,hard,truncated,ecommerce
TX300092,2026-03-31T11:13:00Z,WMMORRISONS LONDON GB,135.12,GBP,GB,Morrisons,Groceries > Supermarkets,5411,LONDON,SE10,hard,no_space,contactless
TX300093,2026-04-16T21:12:00Z,BURGER KING GLASGOW GB,41.35,GBP,GB,Burger King,Food & Drink > Fast Food,5814,GLASGOW,G2,easy,clean,contactless
TX300094,2026-06-28T15:47:00Z,POST OFFICE LTD*41ZWMYP LONDON GB,139.21,GBP,GB,Post Office,Government > Postal Services,9402,LONDON,NW1,medium,ref_code,direct_debit
TX300095,2026-05-16T02:28:00Z,ThE OlD MilL cAfE GUILDFORD GB,79.38,GBP,GB,The Old Mill Cafe,Food & Drink > Cafes & Coffee Shops,5814,GUILDFORD,GU1,medium,case_mixed,contactless
TX300096,2026-08-03T03:26:00Z,BARCLAYS ATM GROUP LTD WATFORD GB,465.64,GBP,GB,Barclays ATM,Financial > Cash Withdrawal,6011,WATFORD,WD17,medium,legal_entity,atm
TX300097,2026-04-01T09:46:00Z,WM MORRISONS 2669 LONDON GB,3.60,GBP,GB,Morrisons,Groceries > Supermarkets,5411,LONDON,E15,easy,store_number,contactless
TX300098,2026-04-13T00:04:00Z,DECATHLON TID58806 SLOUGH GB,89.42,GBP,GB,Decathlon,Shopping > Sporting Goods,5941,SLOUGH,SL1,medium,terminal_id,contactless
TX300099,2026-07-26T08:46:00Z,ITSU 3416 NORWICH,2.40,GBP,GB,Itsu,Food & Drink > Fast Food,5814,NORWICH,NR1,hard,truncated,contactless
TX300100,2026-03-27T03:39:00Z,WASABI 8154 CROYDON GB,23.45,GBP,GB,Wasabi,Food & Drink > Fast Food,5814,CROYDON,CR0,easy,store_number,contactless
TX300101,2026-06-05T09:55:00Z,ANYTIMEFITNESS LONDON GB,114.80,GBP,GB,Anytime Fitness,Health > Gyms & Fitness,7997,LONDON,EC2M,hard,no_space,card_present
TX300102,2026-08-02T07:26:00Z,SP *SMITH & SONS BOOKSHOP BOLTON GB,14.80,GBP,GB,Smith & Sons Bookshop,Shopping > Books,5942,BOLTON,BL1,hard,psp_prefix,card_present
TX300103,2026-05-31T08:26:00Z,KFC DUNDEE GB,80.03,GBP,GB,KFC,Food & Drink > Fast Food,5814,DUNDEE,DD1,easy,clean,contactless
TX300104,2026-06-02T10:27:00Z,TRAVELODGE 7058 LONDON,357.64,GBP,GB,Travelodge,Travel > Hotels,7011,LONDON,WC1B,hard,truncated,card_present
TX300105,2026-08-18T18:00:00Z,SAINSBURYS SMKT LIMITED WATFORD GB,3.41,GBP,GB,Sainsbury's,Groceries > Supermarkets,5411,WATFORD,WD17,medium,legal_entity,card_present
TX300106,2026-04-07T00:01:00Z,WP*WILLIAMS & SONS CAFE CARDIFF GB,2.72,GBP,GB,Williams & Sons Cafe,Food & Drink > Cafes & Coffee Shops,5814,CARDIFF,CF10,hard,psp_prefix,contactless
TX300107,2026-03-07T05:20:00Z,NISA LOCAL ABERDEEN GB,34.08,GBP,GB,Nisa Local,Groceries > Convenience Stores,5411,ABERDEEN,AB10,easy,clean,card_present
TX300108,2026-05-07T14:24:00Z,TEXACO CAMBRIDGE CB1 GB,55.16,GBP,GB,Texaco,Transport > Fuel & Petrol,5541,CAMBRIDGE,CB1,easy,postcode_tail,card_present
TX300109,2026-03-31T22:03:00Z,THE WHITE HART TID75502 GLASGOW GB,7.58,GBP,GB,The White Hart,Food & Drink > Pubs & Bars,5813,GLASGOW,G1,medium,terminal_id,card_present
TX300110,2026-04-11T18:58:00Z,EASYJET*SA7ZUT LEEDS GB,165.69,GBP,GB,easyJet,Travel > Airlines,3000,LEEDS,LS2,medium,ref_code,contactless
TX300111,2026-03-10T18:49:00Z,TEXACO TID11983 LONDON GB,47.71,GBP,GB,Texaco,Transport > Fuel & Petrol,5541,LONDON,SE10,medium,terminal_id,card_present
TX300112,2026-06-17T14:04:00Z,SEVERN TRENT EDINBUR,10.25,GBP,GB,Severn Trent,Bills > Water,4900,EDINBURGH,EH2,hard,truncated,direct_debit
TX300113,2026-05-11T18:49:00Z,GWR TID99546 BRIGHTON GB,152.79,GBP,GB,Great Western Railway,Transport > Rail,4112,BRIGHTON,BN1,medium,terminal_id,contactless
TX300114,2026-04-19T19:42:00Z,SQ *ROBERTS NAIL BAR BOLTON GB,92.87,GBP,GB,Roberts Nail Bar,Personal Care > Beauty,7230,BOLTON,BL1,hard,psp_prefix,ecommerce
TX300115,2026-04-11T01:36:00Z,SINGH & SONS PIZZERIA PORTSMOUTH PO1 GB,26.22,GBP,GB,Singh & Sons Pizzeria,Food & Drink > Restaurants,5812,PORTSMOUTH,PO1,medium,postcode_tail,contactless
TX300116,2026-07-19T23:56:00Z,HILTON HOTELS*9FNX5 IPSWICH GB,1029.79,GBP,GB,Hilton,Travel > Hotels,7011,IPSWICH,IP1,medium,ref_code,card_present
TX300117,2026-06-14T19:47:00Z,MEGABUS 7230 BOLTON GB,131.11,GBP,GB,Megabus,Transport > Coach & Bus,4131,BOLTON,BL1,easy,store_number,contactless
TX300118,2026-04-27T18:00:00Z,WAGAMAMA NORWICH NR1 GB,74.58,GBP,GB,Wagamama,Food & Drink > Restaurants,5812,NORWICH,NR1,easy,postcode_tail,card_present
TX300119,2026-05-01T11:04:00Z,STEAMGAMES.COM NORWICH GB,11.44,GBP,GB,Steam,Entertainment > Gaming,5816,NORWICH,NR1,easy,clean,ecommerce
TX300120,2026-03-26T11:31:00Z,STRIPE*BLUEBIRD CAFE GLASGOW GB,25.29,GBP,GB,Bluebird Cafe,Food & Drink > Cafes & Coffee Shops,5814,GLASGOW,G1,hard,psp_prefix,card_present
TX300121,2026-06-26T01:09:00Z,COSTCUTTER 4608 COVENT,53.75,GBP,GB,Costcutter,Groceries > Convenience Stores,5411,COVENTRY,CV1,hard,truncated,card_present
TX300122,2026-04-11T13:02:00Z,IZ *THE HIDEAWAY CAFE LUTON GB,9.81,GBP,GB,The Hideaway Cafe,Food & Drink > Cafes & Coffee Shops,5814,LUTON,LU1,hard,psp_prefix,card_present
TX300123,2026-08-10T02:18:00Z,NETFLIX.COM LIMITED YORK GB,26.82,GBP,GB,Netflix,Entertainment > Streaming,5815,YORK,YO1,medium,legal_entity,ecommerce
TX300124,2026-06-30T19:52:00Z,ADDISON LEE 4383 LONDON GB,5.94,GBP,GB,Addison Lee,Transport > Taxi,4121,LONDON,WC1B,easy,store_number,ecommerce
TX300125,2026-03-20T19:23:00Z,SPAR STOKE-ON-TRENT ST1 GB,83.07,GBP,GB,Spar,Groceries > Convenience Stores,5411,STOKE-ON-TRENT,ST1,easy,postcode_tail,contactless
TX300126,2026-03-19T05:50:00Z,KHAN BALTI HOUSE 201 LONDON GB,3.64,GBP,GB,Khan Balti House,Food & Drink > Restaurants,5812,LONDON,E15,medium,store_number,contactless
TX300127,2026-05-14T17:52:00Z,WP*THE WHITE HART NEWPORT GB,8.79,GBP,GB,The White Hart,Food & Drink > Pubs & Bars,5813,NEWPORT,NP20,hard,psp_prefix,card_present
TX300128,2026-08-25T21:24:00Z,DECATHLON 7619 WATFORD GB,134.12,GBP,GB,Decathlon,Shopping > Sporting Goods,5941,WATFORD,WD17,easy,store_number,card_present
TX300129,2026-04-08T14:55:00Z,ANGLIAN WATER SOUTHAMPTON GB,77.67,GBP,GB,Anglian Water,Bills > Water,4900,SOUTHAMPTON,SO14,easy,clean,direct_debit
TX300130,2026-03-16T15:14:00Z,NISA LOCAL 7875 BIRMINGHAM GB,70.67,GBP,GB,Nisa Local,Groceries > Convenience Stores,5411,BIRMINGHAM,B2,easy,store_number,contactless
TX300131,2026-07-09T19:56:00Z,ZETTLE_*MCGREGORS FLORIST YORK GB,465.84,GBP,GB,Mcgregor's Florist,Shopping > Florists,5992,YORK,YO1,hard,psp_prefix,card_present
TX300132,2026-06-16T08:25:00Z,GOOGLE *YOUTUBEPREM BELFAST GB,72.67,GBP,GB,YouTube Premium,Entertainment > Streaming,5815,BELFAST,BT2,easy,clean,ecommerce
TX300133,2026-05-14T03:14:00Z,PRET A MANGER 9724 SAL,30.34,GBP,GB,Pret A Manger,Food & Drink > Cafes & Coffee Shops,5814,SALFORD,M50,hard,truncated,card_present
TX300134,2026-08-11T21:29:00Z,GOOGLE *SERVICES*DBV2BPS WOLVERHAMPTON GB,4.12,GBP,GB,Google,Entertainment > App Stores,5817,WOLVERHAMPTON,WV1,medium,ref_code,ecommerce
TX300135,2026-05-20T19:43:00Z,TRAINLINE PRESTON GB,199.65,GBP,GB,Trainline,Transport > Rail,4112,PRESTON,PR1,easy,clean,card_present
TX300136,2026-03-13T07:55:00Z,BOLT.EU LONDON GB,172.11,GBP,GB,Bolt,Transport > Ride Hailing,4121,LONDON,EC2M,easy,clean,card_present
TX300137,2026-08-20T11:57:00Z,ARGOS LTD 1410 LONDON GB,14.36,GBP,GB,Argos,Shopping > General Merchandise,5310,LONDON,W2,easy,store_number,contactless
TX300138,2026-05-11T13:09:00Z,THE BULL INN 9120,3.77,GBP,GB,The Bull Inn,Food & Drink > Pubs & Bars,5813,BOLTON,BL1,hard,truncated,card_present
TX300139,2026-05-07T14:34:00Z,JET 750 PORTSMOUTH GB,67.19,GBP,GB,Jet,Transport > Fuel & Petrol,5541,PORTSMOUTH,PO1,easy,store_number,card_present
TX300140,2026-03-14T02:42:00Z,SLUG AND LETTUCE 7963 SUNDERLAND GB,6.23,GBP,GB,Slug and Lettuce,Food & Drink > Pubs & Bars,5813,SUNDERLAND,SR1,easy,store_number,card_present
TX300141,2026-05-03T00:32:00Z,HMRC UK LTD GUILDFORD GB,155.07,GBP,GB,HM Revenue & Customs,Government > Tax,9311,GUILDFORD,GU1,medium,legal_entity,direct_debit
